"rowNumber","productName","productCode","error"
52,"Unknown","","Product name is missing"
52,"Unknown","","productCode is missing in row 52. Use column ""productCode""."
53,"Unknown","","Product name is missing"
53,"Unknown","","productCode is missing in row 53. Use column ""productCode""."
54,"Unknown","","Product name is missing"
54,"Unknown","","productCode is missing in row 54. Use column ""productCode""."
55,"Unknown","","Product name is missing"
55,"Unknown","","productCode is missing in row 55. Use column ""productCode""."
56,"Unknown","","Product name is missing"
56,"Unknown","","productCode is missing in row 56. Use column ""productCode""."
57,"Unknown","","Product name is missing"
57,"Unknown","","productCode is missing in row 57. Use column ""productCode""."
58,"Unknown","","Product name is missing"
58,"Unknown","","productCode is missing in row 58. Use column ""productCode""."
59,"Unknown","","Product name is missing"
59,"Unknown","","productCode is missing in row 59. Use column ""productCode""."
60,"Unknown","","Product name is missing"
60,"Unknown","","productCode is missing in row 60. Use column ""productCode""."
61,"Unknown","","Product name is missing"
61,"Unknown","","productCode is missing in row 61. Use column ""productCode""."
62,"Unknown","","Product name is missing"
62,"Unknown","","productCode is missing in row 62. Use column ""productCode""."
63,"Unknown","","Product name is missing"
63,"Unknown","","productCode is missing in row 63. Use column ""productCode""."
64,"Unknown","","Product name is missing"
64,"Unknown","","productCode is missing in row 64. Use column ""productCode""."
65,"Unknown","","Product name is missing"
65,"Unknown","","productCode is missing in row 65. Use column ""productCode""."
66,"Unknown","","Product name is missing"
66,"Unknown","","productCode is missing in row 66. Use column ""productCode""."
67,"Unknown","","Product name is missing"
67,"Unknown","","productCode is missing in row 67. Use column ""productCode""."
68,"Unknown","","Product name is missing"
68,"Unknown","","productCode is missing in row 68. Use column ""productCode""."
69,"Unknown","","Product name is missing"
69,"Unknown","","productCode is missing in row 69. Use column ""productCode""."
70,"Unknown","","Product name is missing"
70,"Unknown","","productCode is missing in row 70. Use column ""productCode""."
71,"Unknown","","Product name is missing"
71,"Unknown","","productCode is missing in row 71. Use column ""productCode""."
72,"Unknown","","Product name is missing"
72,"Unknown","","productCode is missing in row 72. Use column ""productCode""."
73,"Unknown","","Product name is missing"
73,"Unknown","","productCode is missing in row 73. Use column ""productCode""."
74,"Unknown","","Product name is missing"
74,"Unknown","","productCode is missing in row 74. Use column ""productCode""."
75,"Unknown","","Product name is missing"
75,"Unknown","","productCode is missing in row 75. Use column ""productCode""."
76,"Unknown","","Product name is missing"
76,"Unknown","","productCode is missing in row 76. Use column ""productCode""."
77,"Unknown","","Product name is missing"
77,"Unknown","","productCode is missing in row 77. Use column ""productCode""."
78,"Unknown","","Product name is missing"
78,"Unknown","","productCode is missing in row 78. Use column ""productCode""."
79,"Unknown","","Product name is missing"
79,"Unknown","","productCode is missing in row 79. Use column ""productCode""."
80,"Unknown","","Product name is missing"
80,"Unknown","","productCode is missing in row 80. Use column ""productCode""."
81,"Unknown","","Product name is missing"
81,"Unknown","","productCode is missing in row 81. Use column ""productCode""."
82,"Unknown","","Product name is missing"
82,"Unknown","","productCode is missing in row 82. Use column ""productCode""."
25,"10000mAh 22.5W Fast Charging","2724-1","Image folder not found for productCode 2724-1. Tried: 2724-1, 2724-01. Available folders inside zip: 2701, 2702, 2703, 2704, 2705, 2706, 2707, 2708 (+37 more)."
27,"10R2 Portable Power Bank","2726-1","Image folder not found for productCode 2726-1. Tried: 2726-1, 2726-01. Available folders inside zip: 2701, 2702, 2703, 2704, 2705, 2706, 2707, 2708 (+37 more)."
11,"17 Pro Power Bank with Fast Charge","2710-1","Image folder not found for productCode 2710-1. Tried: 2710-1, 2710-01. Available folders inside zip: 2701, 2702, 2703, 2704, 2705, 2706, 2707, 2708 (+37 more)."
30,"20000mAh Fast Charging Power Bank","2729-1","Image folder not found for productCode 2729-1. Tried: 2729-1, 2729-01. Available folders inside zip: 2701, 2702, 2703, 2704, 2705, 2706, 2707, 2708 (+37 more)."
28,"20R Fast Charging Power Bank","2727-1","Image folder not found for productCode 2727-1. Tried: 2727-1, 2727-01. Available folders inside zip: 2701, 2702, 2703, 2704, 2705, 2706, 2707, 2708 (+37 more)."
33,"25W Lightning to USB-C Charging Cable","2732-1","Image folder not found for productCode 2732-1. Tried: 2732-1, 2732-01. Available folders inside zip: 2701, 2702, 2703, 2704, 2705, 2706, 2707, 2708 (+37 more)."
22,"AirPods Mix Wireless Earbuds","2721-1","Image folder not found for productCode 2721-1. Tried: 2721-1, 2721-01. Available folders inside zip: 2701, 2702, 2703, 2704, 2705, 2706, 2707, 2708 (+37 more)."
19,"Alpha Edge Smart Watch","2718-1","Image folder not found for productCode 2718-1. Tried: 2718-1, 2718-01. Available folders inside zip: 2701, 2702, 2703, 2704, 2705, 2706, 2707, 2708 (+37 more)."
20,"Alpha Style Sports Smart Watch","2719-1","Image folder not found for productCode 2719-1. Tried: 2719-1, 2719-01. Available folders inside zip: 2701, 2702, 2703, 2704, 2705, 2706, 2707, 2708 (+37 more)."
14,"AMPLE Wireless Earbuds","2713-1","Image folder not found for productCode 2713-1. Tried: 2713-1, 2713-01. Available folders inside zip: 2701, 2702, 2703, 2704, 2705, 2706, 2707, 2708 (+37 more)."
32,"Batman Neckband","2731-1","Image folder not found for productCode 2731-1. Tried: 2731-1, 2731-01. Available folders inside zip: 2701, 2702, 2703, 2704, 2705, 2706, 2707, 2708 (+37 more)."
51,"Big Tool Box","2750-1","Image folder not found for productCode 2750-1. Tried: 2750-1, 2750-01. Available folders inside zip: 2701, 2702, 2703, 2704, 2705, 2706, 2707, 2708 (+37 more)."
26,"Buds X2 Wireless Earbuds","2725-1","Image folder not found for productCode 2725-1. Tried: 2725-1, 2725-01. Available folders inside zip: 2701, 2702, 2703, 2704, 2705, 2706, 2707, 2708 (+37 more)."
23,"Calibar 3 Go Smart Watch","2722-1","Image folder not found for productCode 2722-1. Tried: 2722-1, 2722-01. Available folders inside zip: 2701, 2702, 2703, 2704, 2705, 2706, 2707, 2708 (+37 more)."
45,"CC-70 PD fast charger","2744-1","Image folder not found for productCode 2744-1. Tried: 2744-1, 2744-01. Available folders inside zip: 2701, 2702, 2703, 2704, 2705, 2706, 2707, 2708 (+37 more)."
15,"CHIME Bluetooth TWS Earbuds","2714-1","Image folder not found for productCode 2714-1. Tried: 2714-1, 2714-01. Available folders inside zip: 2701, 2702, 2703, 2704, 2705, 2706, 2707, 2708 (+37 more)."
48,"Cute Silicone Duck Toy","2747-1","Image folder not found for productCode 2747-1. Tried: 2747-1, 2747-01. Available folders inside zip: 2701, 2702, 2703, 2704, 2705, 2706, 2707, 2708 (+37 more)."
31,"Dhurandhar Neckband with Deep Bass","2730-1","Image folder not found for productCode 2730-1. Tried: 2730-1, 2730-01. Available folders inside zip: 2701, 2702, 2703, 2704, 2705, 2706, 2707, 2708 (+37 more)."
8,"EB055 Wireless Earbuds","2707-1","Image folder not found for productCode 2707-1. Tried: 2707-1, 2707-01. Available folders inside zip: 2701, 2702, 2703, 2704, 2705, 2706, 2707, 2708 (+37 more)."
9,"ENBUDS Air ANC Bluetooth Earbuds","2708-1","Image folder not found for productCode 2708-1. Tried: 2708-1, 2708-01. Available folders inside zip: 2701, 2702, 2703, 2704, 2705, 2706, 2707, 2708 (+37 more)."
10,"ENBUDS Air ANC Wireless Earbuds","2709-1","Image folder not found for productCode 2709-1. Tried: 2709-1, 2709-01. Available folders inside zip: 2701, 2702, 2703, 2704, 2705, 2706, 2707, 2708 (+37 more)."
3,"ENZEST NEO Bluetooth","2702-1","Image folder not found for productCode 2702-1. Tried: 2702-1, 2702-01. Available folders inside zip: 2701, 2702, 2703, 2704, 2705, 2706, 2707, 2708 (+37 more)."
18,"Flair Fit Bluetooth Smart Watch","2717-1","Image folder not found for productCode 2717-1. Tried: 2717-1, 2717-01. Available folders inside zip: 2701, 2702, 2703, 2704, 2705, 2706, 2707, 2708 (+37 more)."
24,"Future 50 Bluetooth AirPods","2723-1","Image folder not found for productCode 2723-1. Tried: 2723-1, 2723-01. Available folders inside zip: 2701, 2702, 2703, 2704, 2705, 2706, 2707, 2708 (+37 more)."
13,"HIPHOP Wireless Earbuds","2712-1","Image folder not found for productCode 2712-1. Tried: 2712-1, 2712-01. Available folders inside zip: 2701, 2702, 2703, 2704, 2705, 2706, 2707, 2708 (+37 more)."
44,"Induction Flying Toy","2743-1","Image folder not found for productCode 2743-1. Tried: 2743-1, 2743-01. Available folders inside zip: 2701, 2702, 2703, 2704, 2705, 2706, 2707, 2708 (+37 more)."
47,"Kids Stationery Set","2746-1","Image folder not found for productCode 2746-1. Tried: 2746-1, 2746-01. Available folders inside zip: 2701, 2702, 2703, 2704, 2705, 2706, 2707, 2708 (+37 more)."
46,"Kids Watch Set","2745-1","Image folder not found for productCode 2745-1. Tried: 2745-1, 2745-01. Available folders inside zip: 2701, 2702, 2703, 2704, 2705, 2706, 2707, 2708 (+37 more)."
34,"Lexus Pro Neckband","2733-1","Image folder not found for productCode 2733-1. Tried: 2733-1, 2733-01. Available folders inside zip: 2701, 2702, 2703, 2704, 2705, 2706, 2707, 2708 (+37 more)."
50,"Lunch Box with Leakproof","2749-1","Image folder not found for productCode 2749-1. Tried: 2749-1, 2749-01. Available folders inside zip: 2701, 2702, 2703, 2704, 2705, 2706, 2707, 2708 (+37 more)."
49,"paper soap bottle","2748-1","Image folder not found for productCode 2748-1. Tried: 2748-1, 2748-01. Available folders inside zip: 2701, 2702, 2703, 2704, 2705, 2706, 2707, 2708 (+37 more)."
21,"POP Buds Bluetooth TWS Earbuds","2720-1","Image folder not found for productCode 2720-1. Tried: 2720-1, 2720-01. Available folders inside zip: 2701, 2702, 2703, 2704, 2705, 2706, 2707, 2708 (+37 more)."
12,"Portable Power Bank with Fast Charge","2711-1","Image folder not found for productCode 2711-1. Tried: 2711-1, 2711-01. Available folders inside zip: 2701, 2702, 2703, 2704, 2705, 2706, 2707, 2708 (+37 more)."
29,"Power Bank with 2-in-1 Charging Cable","2728-1","Image folder not found for productCode 2728-1. Tried: 2728-1, 2728-01. Available folders inside zip: 2701, 2702, 2703, 2704, 2705, 2706, 2707, 2708 (+37 more)."
16,"S9 Star Wireless Earbuds","2715-1","Image folder not found for productCode 2715-1. Tried: 2715-1, 2715-01. Available folders inside zip: 2701, 2702, 2703, 2704, 2705, 2706, 2707, 2708 (+37 more)."
17,"S9 Ultra Bluetooth TWS Earbuds","2716-1","Image folder not found for productCode 2716-1. Tried: 2716-1, 2716-01. Available folders inside zip: 2701, 2702, 2703, 2704, 2705, 2706, 2707, 2708 (+37 more)."
39,"Safe Electric Nail Trimmer","2738-1","Image folder not found for productCode 2738-1. Tried: 2738-1, 2738-01. Available folders inside zip: 2701, 2702, 2703, 2704, 2705, 2706, 2707, 2708 (+37 more)."
38,"Selfie Light Clip","2737-1","Image folder not found for productCode 2737-1. Tried: 2737-1, 2737-01. Available folders inside zip: 2701, 2702, 2703, 2704, 2705, 2706, 2707, 2708 (+37 more)."
40,"Shinchan Musical Crawling Baby Toy","2739-1","Image folder not found for productCode 2739-1. Tried: 2739-1, 2739-01. Available folders inside zip: 2701, 2702, 2703, 2704, 2705, 2706, 2707, 2708 (+37 more)."
